Fichero,Tipo,ValorBLb,TiempoBLb,ValorBLf,TiempoBLf,ValorES,TiempoES,MejorValor
kroA100.txt,TSP,93837.2,.060413457,39534.9,.071885170,30880.2,.107487416,21282
kroA200.txt,TSP,282338,.172799347,81505.2,.251721934,50109.3,.418336355,29368
kroA200.txt,TSP,288119,.172765857,84974.8,.258129024,48169.1,.425730091,29368
kroA200.txt,TSP,293217,.173950175,87110.1,.276627517,52932.7,.389440244,29368
p01.txt,TSP,347,.013392813,387,.013840073,313,.013963360,291
p01.txt,TSP,354,.013893596,332,.013681006,321,.012883480,291
p01.txt,TSP,393,.012871469,374,.012832402,331,.013620539,291
pr76.txt,TSP,311770,.039766481,158567,.037301482,134659,.076038359,108159
pr76.txt,TSP,322645,.042711846,153289,.043726317,136568,.066822669,108159
pr76.txt,TSP,329351,.043787263,157259,.037885567,138397,.066797501,108159
st70.txt,TSP,1761.99,.036192395,947.303,.032361484,905.398,.051498430,675
st70.txt,TSP,1898.2,.035696387,1048.22,.029831371,877.907,.049045222,675
st70.txt,TSP,1927.52,.039020580,1037.57,.030162730,954.658,.044788848,675
